article,"How many microphones are used in the array? (Ex: 16, or 8, 16 in case of two evaluated arrays)",Mics,What SSL algorithms are evaluated?,"Is a neural network used for localization, filtering or neither?",What is the sampling rate?,samp,What ego-noise mitigation strategies are used?,Other noise mitigation strategy:,What are the signal sources?,sound,Does the work address single or multiple SSL?,What is the distance to the sound source in the reported experiments? (in meters),What is(are) the reported SNR in the experiments?,Where are the microphones places in relation to the UAV?,What are the evaluated array configurations?,configuration,Shortest mic distance,Longest mic distance,Angle Detection,Error in angle,What is the hovering height of the drone in the experiments?,Drone model(s),"Drone category (micro: 250 g or less · very small: more than 250 g, but not more than 2 kg · small: more than 2 kg, but not more than 25 kg)","Drone type (multirotor, airplane, VTOL, helicopter)",Where is the initial signal filtering performed?,Where is the DOA algorithm executed? ,Strong aspects of the paper (bullet points),Limitations (including future work) of the paper (bullet points),Dataset availability,"Additional comments, if needed",Bibtex citation ,cite string,Reader
Drone audition listening from the sky estimates multiple sound sourcepositions by integrating sound source localization and data association,16,16,GSVD MUSIC (HARK implementation),no,Not specified,,"Distancing of the microphones from the drone rotors, Wind-damping mufflers",,"A person shouting, Whistle","Human speech, Whistle",Multiple,10 mts,,Around,Other,Cylindrical,"0,4",2,Azimuth and Elevation,,5 mts,enRoute PG-560,very small,multirotor,On a remote server,Real-time on a remote server,"- GHDSS is used to separate sounds from a wave file transferred from the drone to the ground station via 2.4 GHz Wireless LAN.
- The 16 mic array is captured by the on-board sound processing unit RASP-ZX and transmitted to the ground station.
- Since rotor noise increases during takeoff and landing, localization is set to be perfomed only at the altitude of 3.5m or more."," The flight paths were prescribed. Automatic flight path planning is an important and interesting future work.
 Two simultaneous sound sources tested: speaker with human voice and human whistling.  Handle azimuth and elevation up to 3 meters away",not mentioned,,"@article{wakabayashi2020drone,
  title={Drone audition listening from the sky estimates multiple sound source positions by integrating sound source localization and data association},
  author={Wakabayashi, Mizuho and Okuno, Hiroshi G and Kumon, Makoto},
  journal={Advanced Robotics},
  volume={34},
  number={11},
  pages={744--755},
  year={2020},
  publisher={Taylor \& Francis}
}",\cite{wakabayashi2020drone},Jahir Rodriguez
An Acoustic Source Localization Method Using a Drone-Mounted PhasedMicrophone Array,32 microphones.,32,Delay and sum beamforming (page 3),no,25.6 kHz (8),25.6,"Distancing of the microphones from the drone rotors, Spectral filtering","Spectral Subtraction(3,15)",Other,Other,Single,The distance of the firecrackers range from 25.3 meters to 151.5 meters.(Page3),64dB(Page8),Below,2D Radial,2D Radial,,,,,150m(9),Not mentioned (inferred to be DJI Matrice 600),small,multirotor,Simulation,Offline,The DOA is executed by the drone and it arrives to the sources of the sounds that was recorded and collected,"""The acoustic sources used for the experiment were commercial firecracker. This signal was collected separately without a drone and measured at a distance of about 20 m away from the location of the firecracker near the center of the drone.""",Not mentioned,Real time update to the drone's position at 30Hz on the data processing board with the signals from the microphone.(Page 6),"@article{go2021acoustic,
  title={An acoustic source localization method using a drone-mounted phased microphone array},
  author={Go, Yeong-Ju and Choi, Jong-Soo},
  journal={Drones},
  volume={5},
  number={3},
  pages={75},
  year={2021},
  publisher={MDPI}
}",\cite{go2021acoustic},Abishek
Deep-Learning-Assisted Sound Source Localization From a Flying Drone,8( Page 2 figure a),8,"two baseline approaches, SRP-PHAT and TFS, and six DNN-based approaches: SRP-DNN0, SRP-DNN1, SRP-DNN2, TFS-DNN0, TFS-DNN1, and TFS-DNN2. Here, DNN1 and DNN2 are SMoLNet and FC ( Page 1)",filtering,8kHz( downsampled from 44.1kHz and 44.8kHz depending on the paper that the dataset was taken from).,8,"Distancing of the microphones from the drone rotors, Other, Spectral filtering",Single channel Deep neural network for ego-noise supression.(Page2),"A person shouting, Other","Human speech, Other",Single,"AS paper: , AVQ: 2-6.4m, DREGON: 1.2-2.4m","taken from the papers where the data is sourced: -30 to 5 DB for AS signal[22], <-20db on a median for the second dataset of AVQ signal[29[, -20 to 30 db for DREGON","Above, Below",2D Radial,2D Radial,,,,,"AS: 1.8m, AVQ=1.8m,","3DR IRIS quadcopter drone(microphones placed above), MikroKopter drone(microphones placed below)",Used data from other papers,Used data from other papers,Simulation,Simulation,"Uses datasets from multiple sources. For AS: DOA calculations are done locally, SRP-PHAT algorithm for DOA calculations for AVQ, DREGON uses MATLAB toolbox named Multi-Channel BSS Locate (mBSSL)","No data collection was done in the paper, and other datasets were utilised. Does not provide direct links to the used datasets.",DREGON: http://dregon.inria.fr/datasets/dregon/,,"@article{wang2022deep,
  title={Deep-learning-assisted sound source localization from a flying drone},
  author={Wang, Lin and Cavallaro, Andrea},
  journal={IEEE Sensors Journal},
  volume={22},
  number={21},
  pages={20828--20838},
  year={2022},
  publisher={IEEE}
}",\cite{wang2022deep},Abishek
Placement Planning for Sound Source Tracking in Active Drone Audition,16 (Page 10),16,"Triangulation based tracking methods(Potamitis04,Yamada20), particle filtering(Lauzon17), and MUSIC(PAFIM). (Page 11)",no,16kHz ( Page 10),16,"Other, Spectral filtering",Placing microphone arrays close to sound sources to maintain high SNR(Page 7),"Other, Other drones",Drones,Single,from 0 to 22 meters as the sound source is moving in a circle in a 11m radius which produces a 1kHz sine wave.,-20dB (Page 10),Around,3D Sphere,3D Sphere,,,,,6.5 meters(Page 10),It is completely done in a simulation.,Simulation,Simulation,Simulation,Simulation,Innovative approach to active sound source tracking using mobile drones. Multiple microphone array configurations are evaluated.,All work was done purely in simulation and it is yet to be carried out locally. Tracking results were confused when sound sources were close ot each other. Real life factors such as wind and self localisation error have not been adressed.,Not mentioned,,"@article{yamada2023placement,
  title={Placement Planning for Sound Source Tracking in Active Drone Audition},
  author={Yamada, T. and Itoyama, K. and Nishida, K. and Nakadai, K.},
  journal={Drones},
  volume={7},
  number={405},
  year={2023},
  pages={1--21},
  doi={10.3390/drones7030405}
}",\cite{yamada2023placement},Abishek
A 2-D Acoustic Source Localization System for Drones in Search andRescue Missions,4,4,TDOA in conjunction with multilateration and Kalman ﬁlter.,no,50 KHz,50,Spectral filtering,,Whistle,Whistle,Single,5 to 30 mts,Above 3 dB,Below,2D Rectangle,2D Rectangle,,,,,2 to 3 mts.,Not specified,Not specified,Not specified,Locally,Real-time locally,- They opted to use microphones with auto-gain which amplify the source’s sound when it is far-ﬁeld and attenuate the source’s sound when it is near-ﬁeld. Electret microphones with MAX9814 automatic gain controlled (ACG) ampliﬁers which provide a gain of over 20 dB,"- The source location is estimated in terms of an azimuth and distance estimation.
- Aspect to consider is how the drone can be semi-automated in order to alleviate some of the pressure on the operators",Not mentioned,,"@article{sibanyoni20182,
  title={A 2-D acoustic source localization system for drones in search and rescue missions},
  author={Sibanyoni, Sibusiso V and Ramotsoela, Daniel T and Silva, Bruno J and Hancke, Gerhard P},
  journal={IEEE Sensors Journal},
  volume={19},
  number={1},
  pages={332--341},
  year={2018},
  publisher={IEEE}
}",\cite{sibanyoni20182},Jahir Rodríguez
DOANet: a deep dilated convolutional neural network approach for searchand rescue with drone-embedded sound source localization,8,8,"DNM + SCHC, DS + SCHC, DSW + SCHC, GCC-NONLIN + SCHC, GCC-PATH + SCHC, MVDR + SCHC, MVDRW + SCHC.
DOANet (Proposed) One-dimensional dilated CNN",Localization,44.1 KHz,44.1,Spectral filtering,,A person shouting,Human speech,Single,Not specified,Not specified,Below,Other,Cubic. Dregon,,,,,Not specified,Not specified,Not specified,Not specified,Simulation,Offline,"- DOANet does not require any hand-crafted audio features or ego-noise reduction.
- tested in static and in-flight UAV conditions
- They use pyroomacoustics to create synthetic data","- DOANet is composed of two networks which are almost identical, each taking on the task of predicting the azimuth and elevation angles independently
- Do not detect distance, only location angles in azimuth and elevation
- Not used in real time localization.",DREGON,,"@article{qayyum2020doanet,
  title={DOANet: a deep dilated convolutional neural network approach for search and rescue with drone-embedded sound source localization},
  author={Qayyum, Alif Bin Abdul and Hassan, KM Naimul and Anika, Adrita and Shadiq, Md Farhan and Rahman, Md Mushfiqur and Islam, Md Tariqul and Imran, Sheikh Asif and Hossain, Shahruk and Haque, Mohammad Ariful},
  journal={EURASIP Journal on Audio, Speech, and Music Processing},
  volume={2020},
  pages={1--18},
  year={2020},
  publisher={Springer}
}",\cite{qayyum2020doanet},Jahir Rodriguez
Multiple Sound Source Position Estimation by Drone Audition Based on Data Association Between Sound Source Localization and Identification,16,16,"GSVD - MUSIC for SSL
HARK (GHDSS) for SSS. Sound Source Separation
GNN-c for tracking multiple sources.
SVM for SSI. Sound source identification. (Proposed)",no,16 KHz,16,Distancing of the microphones from the drone rotors,,"A person shouting, Whistle","Human speech, Whistle",Both,18 m.,-15 dB.,Around,Other,Cylindrical,"0,4",2,Azimuth and Elevation,,Not specified.,ZION-PG560,small (inferred),multirotor,On a remote server,Real-time on a remote server,"- They introduce a management method for stable sound-source tracking, using thresholds and Kalman´s filtering: valid, active and dormant.
- The proposed method comparing to the SSL without classiﬁcation, the proposed method took longer time to ﬁnd the source (male voice), but the proposed method provided accurate and stable estimates of both two sources (voice and whistle).  
- The proposed association method with classiﬁcation made the localization robust even with a liimited number of observations available under noisy conditions.",- The sensor readings from the drone and acoustic signals were not perfectly synchronized because of the limitation of the computational resources.,"AudioSet. https://research.google.com/audioset/index.html. Diferent sound sources used in the paper, 8 classes. male voice, female voice, emergency whistle, airplane, car horn, engine, siren, and rotor noise.",,"@article{wakabayashi2020multiple,
  title={Multiple sound source position estimation by drone audition based on data association between sound source localization and identification},
  author={Wakabayashi, Mizuho and Okuno, Hiroshi G and Kumon, Makoto},
  journal={IEEE Robotics and Automation Letters},
  volume={5},
  number={2},
  pages={782--789},
  year={2020},
  publisher={IEEE}
}",\cite{wakabayashi2020multiple},Jahir Rodriguez
Design and Assessment of Sound Source Localization System with a UAV-Embedded Microphone Array,16 (offline) and 8 (online),8,"iGEVD-MUSIC (offline)
iGSVD-MUSIC (online: real-time)",no,16 kHz,16,"Distancing of the microphones from the drone rotors, Spectral filtering, Wind-damping mufflers",,"A person shouting, Animal sounds, Motor vehicles, Other, Whistle","Human speech, Animal sounds, Motor vehicles",Both,"11m (offline)
2m (online)",Unclear,"Around, Below",2D Radial,2D Radial,,,,,"- Offline: 5m
- Online: 1.5m","Pelican (AscTec) and Zion (enRoute) for offline recordings
Bebop Drone for online recording","very small, small",multirotor,On a remote server,Real-time on a remote server,"- 21 different sound sources and volume levels used in the experiments
- Drones are testes hovering and flying outside
- Offline and online experiments","- Focused on ground-based sources, although would probably work for localization of other drones
- Elevation has a larger error, possibly due to usage of 2D circular array
-",Not mentioned,"- Online test is done with people speaking from 2m distance in a noisy outdoors environment, but with a constant rotor speed.","@article{hoshiba2017design,
  title={Design and assessment of sound source localization system with a UAV-embedded microphone array},
  author={Hoshiba, Kotaro and Sugiyama, Osamu and Nagamine, Akihide and Kojima, Ryosuke and Kumon, Makoto and Nakadai, Kazuhiro},
  journal={Journal of Robotics and Mechatronics},
  volume={29},
  number={1},
  pages={154--167},
  year={2017},
  publisher={Fuji Technology Press Ltd.}
}",\cite{hoshiba2017design},Sergio
Design of UAV-Embedded Microphone Array System for Sound SourceLocalization in Outdoor Environments,12(page3),12,"MUSIC(Page 9), SEVD-MUSIC, IGSVD-MUSIC(page 10), angle-limited SEVD-MUSIC(page 14)",no,16kHz(Page 9),16,Other,Use of correlation matrix estimation to improve sound source localisation(Page 15),Whistle,Whistle,Single,10-100meters.(Page13),"-20, -10, 0, 10 and 20 dB(Page 10)","Around, One one side",3D Sphere,3D Sphere,,,,,unclear,Not specified,small (inferred),multirotor,On a remote server,Real-time on a remote server,"Useful design of a WATER RESISTIVE array( could be useful for underwater experimentation with a better design)
Sucessful demonstration of SSL outdoors
Evaluation of multiple algorithms and their performances have been covered(page 13)
Evaluation of multiple designs(page 3)","Limited discussion on the impact of enviromental noise, despite it having been mentioned as their expriment running in a multiple sound source enviroment due to enviromental noise.
The UAV was actually not floating when the data was being taken. This should be worked and improved upon",Not mentioned,This paper focused on sigular SSL but acknowledged the multiple sound sources that were present there during the experiment.,"@article{hoshiba2017bdesign,
  title={Design of UAV-embedded microphone array system for sound source localization in outdoor environments},
  author={Hoshiba, Kotaro and Washizaki, Kai and Wakabayashi, Mizuho and Ishiki, Takahiro and Kumon, Makoto and Bando, Yoshiaki and Gabriel, Daniel and Nakadai, Kazuhiro and Okuno, Hiroshi G},
  journal={Sensors},
  volume={17},
  number={11},
  pages={2535},
  year={2017},
  publisher={MDPI}
}",\cite{hoshiba2017bdesign},Abishek
,,,,,,,,,,,,,,,3D Hexagonal,3D Hexagonal,,,,,,,,,,,,,,,,,
Outdoor evaluation of sound source localization for drone groups using microphone arrays,"16,16,16(Page 4)",16,"MS-GSFT(Multiple Triangulation and Gaussian Sum filter tracking)(Page1), Particle filter-based method referenced as method [11](page 4), and Kalman filter-based method referenced as method[14](page4)",no,16kHz(Page4),16,Distancing of the microphones from the drone rotors,Supression of the impact of outlying triangulation points caused by drone noise.,Whistle,Whistle,Single,up to 50 meters away(page2),n/a,On one side,3D Sphere,3D Sphere,,,,,10 meters.(page4),DJI inspire 2(Page4),small,multirotor,Simulation,Simulation,"The use of MT-GSFT method effectively filters out outlying triangulation points, improving localisation accuracy. Their methods of improving accuracy and isolating the microphones can be adopted and even improved",The performances of the mathematical algorithm and computational methods are only compared to drones that are not moving and the three drones dont actually reach the target. Only their estimation after receiving the sound input is taken into account.,Not mentioned,,"@inproceedings{Yamada2020,
  author = {Taiki Yamada and Katsutoshi Itoyama and Kenji Nishida and Kazuhiro Nakadai},
  title = {Outdoor evaluation of sound source localization for drone groups using microphone arrays},
  booktitle = {Proceedings of the 2020 IEEE/SICE International Symposium on System Integration},
  year = {2020},
  pages = {1--6},
  address = {Honolulu, Hawaii, USA},
}",\cite{Yamada2020},Abishek Soti
DroneEARS: Robust Acoustic Source Localization with Aerial Drones,2,2,"iGEVD-MUSIC
Fixed beamforming
Mobility-aided beamformig. DroneEARS.  (Proposed)",no,Not specified,,Other,Not specified.,Other,Other,Single,"Not specified, the space of probes is 3 to 6 m",-25 to 25 dB,Around,2D Linear,2D Linear,,,,,Not specified,AR.Drone 2.0 quadcopter,micro,multirotor,On a remote server,Offline,"- A major limitation of most competing techniques iGEVD-MUSIC is that they assume to have a good knowledge of the noise correlation matrix. While it can be reliably estimated in static operating conditions, the additional mobility factor makes it very challenging to dynamically derive it.
- DroneEARS estimates the location of the sound source with a mean error of 17 cm, and standard deviation of 26 cm.","- They make the following assumptions in the proposed SSL.
• Assumption 1 : The number of sound sources are less than the number of elements in the sensor array, 1 .
• Assumption 2 : The (sound sources) are stationary, and they continuously transmit for the entire measurement duration.
• Assumption 3 : The precise location of the MAV is known at every measurement point.

- The received signals of very low SNR (-25 dB) need more number of mobile measurements (20) to achieve an average measure of localization accuracy.",Not mentioned,"It is a very similar paper with: Aerial Drones with Location-Sensitive Ears. (Same authors)
- the positions of microphones below the MAV (Drone) receive more noise than positions that are above or beside it due to the downward ﬂow of wind from the propellers.
- is not clear in the paper but it seems the study was only simulated.","@inproceedings{misra2018droneears,
  title={Droneears: Robust acoustic source localization with aerial drones},
  author={Misra, Prasant and Kumar, A Anil and Mohapatra, Pragyan and Balamuralidhar, P},
  booktitle={2018 IEEE International Conference on Robotics and Automation (ICRA)},
  pages={80--85},
  year={2018},
  organization={IEEE}
}",\cite{misra2018droneears},Jahir Rodríguez
